Non Situational
('gasolinerainbow crazy accident witnessed tweetersteele gasoline rainbow', 'non-situational'),
			('according early reports moving rifle closet another item case shifted hit trigger accident', 'non-situational'),
			('pedestrian injured every 7 minutes us pedestrian accident', 'non-situational'),
			('jay williams motorcycle accident threw away everything', 'non-situational'),
			('suffered accident work call us 0800 731 7555 find make claim compensation', 'non-situational'),
			('eight year old girl dies suffocating balloon kidspotsocial tragic accident', 'non-situational'),
			('make claim even accident caused uninsured driver help contact us', 'non-situational'),
			('smriti irani gets right position lies accident', 'non-situational'),
			('shocking aldenrichards narrowly escapes car accident', 'non-situational'),
			('accident relief rarely available time rather blaming hrd ministers cavalcade need ask rapid accident relief teams', 'non-situational'),
			('bad things happen good people car accident talk senior lawyer 4162078199', 'non-situational'),
			('wait police accident accident crashing', 'non-situational'),
			('spotted accident thanks god everyone safe minor injuries rain slipperyroad', 'non-situational'),
			('dont meet people accident meant cross path reason', 'non-situational'),
			('bathroom floor tiles experienced splash luxurious serum bummed accident periconemd', 'non-situational'),
			('people get accident scene first thing check steal', 'non-situational'),
			('search launched man missing road crash cars crash appeal missing roads dundee fife accident', 'non-situational'),
			('retro follow old oldcar vintage accident car cigarette like4likes followme follow4follow beaverx', 'non-situational'),
			('accident situation someone hurt something damaged without anyone intending happen', 'non-situational'),
			('omg happen accidentally ended knit stitch accident knit', 'non-situational'),
			('knit going like tweet lol accident', 'non-situational'),
			('ambulance fire ambulance fire accident beware', 'non-situational'),
			('one accident small tip avoid accident follow rules', 'non-situational'),
			('ppl cant drive rain traffic accident', 'non-situational'),
			('fall bike cool kids itthey tell promise falling accident', 'non-situational'),
			('someone said words wait work almost started singing accident closeone', 'non-situational'),
			('need help motorcycle accident learn', 'non-situational'),
			('accidents happen shit happensaccident marker explode red shit draw color plop sketch', 'non-situational'),
			('hope youre enjoying weekend get accident take photos gather personal information dont admit fault', 'non-situational'),
			('appears one wheelchairtravelers may accident airportsarefunny', 'non-situational'),
			('new accident injury dhs module available', 'non-situational'),
			('smriti irani oh people dont get serious accident', 'non-situational'),
			('met accident first thing comes mind insured', 'non-situational'),
			('negligence involved dog driver truck accident', 'non-situational'),
			('thankyou lord unending grace life saved protected accident', 'non-situational'),
			('prevent form accident heavyvehicles allahrehamkare', 'non-situational'),
			('never ever trust wheels accident', 'non-situational'),
			('cancersurvivor survived drunkdriving accident changedmylife kid myhero', 'non-situational'),
			('wearing helmet makes feel safer safer accident pollution distraction thankyou hydtraffic 4 enforcing helmetrule', 'non-situational'),
			('soooooo close cars trucks tight close accident alley interesting photooftheday', 'non-situational'),
			('buddy lost tip dumbass finger tip accident dabstache dabstache stachearmy', 'non-situational'),
			('peter liang political scapegoat taking fall white supremacy peterliang accident', 'non-situational'),
			('cant get high today accident', 'non-situational'),
			('ur tweet cryin accident skyeoakesayy', 'non-situational'),
			('werent accident werent mass produced arent assembly line', 'non-situational'),
			('injured cycling accident team help get help deserve 4012260097', 'non-situational'),
			('suffer chronic back pain result car accident accident injury lawyer', 'non-situational'),
